time_acc_lr_original_feats;time_acc_lr_selected_feats;time_acc_neight_original_feats;time_acc_neight_selected_feats;time_acc_gnb_original_feats;time_acc_gnb_selected_feats;time_acc_rf_original_feats;time_acc_rf_selected_feats;time_prec_lr_original_feats;time_prec_lr_selected_feats;time_prec_neight_original_feats;time_prec_neight_selected_feats;time_prec_gnb_original_feats;time_prec_gnb_selected_feats;time_prec_rf_original_feats;time_prec_rf_selected_feats;time_rec_lr_original_feats;time_rec_lr_selected_feats;time_rec_neight_original_feats;time_rec_neight_selected_feats;time_rec_gnb_original_feats;time_rec_gnb_selected_feats;time_rec_rf_original_feats;time_rec_rf_selected_feats;time_f1_lr_original_feats;time_f1_lr_selected_feats;time_f1_neight_original_feats;time_f1_neight_selected_feats;time_f1_gnb_original_feats;time_f1_gnb_selected_feats;time_f1_rf_original_feats;time_f1_rf_selected_feats
7.017;12.81;0.188;0.062;0.25;0.031;9.708;3.328;7.109;12.938;0.234;0.078;0.203;0.047;9.454;3.141;7.004;12.967;0.234;0.078;0.234;0.031;9.483;3.172;7.439;12.824;0.203;0.094;0.25;0.047;9.345;3.109
6.969;12.679;0.219;0.062;0.203;0.047;9.64;3.189;7.047;12.864;0.203;0.062;0.234;0.031;9.303;3.281;7.089;12.892;0.203;0.078;0.234;0.047;9.624;3.268;7.062;12.543;0.216;0.078;0.219;0.031;9.379;3.249
7.112;13.037;0.213;0.078;0.219;0.031;9.575;3.109;7.111;12.729;0.219;0.062;0.234;0.031;9.554;3.266;7.112;12.935;0.203;0.063;0.234;0.031;9.469;3.172;6.964;12.691;0.203;0.094;0.25;0.031;9.246;3.109
7.437;12.763;0.203;0.062;0.234;0.031;9.708;3.204;7.187;12.737;0.203;0.078;0.234;0.047;9.626;3.203;7.016;12.834;0.203;0.062;0.234;0.047;9.397;3.109;7.204;12.762;0.203;0.078;0.234;0.031;9.407;3.297
7.001;12.793;0.193;0.078;0.203;0.047;9.484;3.142;6.978;13.047;0.234;0.078;0.234;0.031;9.403;3.099;7.042;12.653;0.203;0.078;0.219;0.031;9.811;3.297;7.095;13.433;0.219;0.078;0.234;0.047;9.484;3.109
7.126;12.936;0.219;0.094;0.219;0.031;9.345;3.094;7.338;12.788;0.194;0.078;0.219;0.031;9.365;3.109;7.064;12.673;0.234;0.094;0.219;0.047;9.742;3.266;7.064;12.997;0.219;0.078;0.266;0.047;9.606;3.205
7.133;12.768;0.219;0.063;0.234;0.031;9.486;3.094;7.001;12.757;0.219;0.062;0.219;0.047;9.266;3.109;7.158;12.928;0.281;0.078;0.234;0.047;9.282;3.187;7.095;12.772;0.209;0.094;0.219;0.031;9.251;3.114
7.028;13.103;0.25;0.078;0.219;0.031;9.376;3.125;7.053;12.725;0.219;0.078;0.25;0.047;9.363;3.109;7.173;13.033;0.203;0.094;0.234;0.047;9.346;3.155;7.087;12.742;0.203;0.094;0.234;0.047;9.313;3.141
7.403;13.018;0.203;0.078;0.234;0.047;9.267;3.281;7.153;12.938;0.203;0.078;0.219;0.047;9.579;3.109;7.032;12.949;0.25;0.078;0.25;0.031;9.709;3.314;7.016;12.72;0.234;0.094;0.266;0.047;9.293;3.091
6.972;12.766;0.203;0.08;0.204;0.031;9.502;3.313;6.93;12.924;0.187;0.078;0.266;0.031;10.032;3.219;7.017;12.834;0.219;0.078;0.25;0.031;9.467;3.363;7.033;12.719;0.234;0.062;0.219;0.047;9.236;3.095
7.017;12.799;0.219;0.062;0.219;0.047;9.391;3.141;7.329;12.858;0.234;0.078;0.234;0.031;9.08;3.095;6.987;13.024;0.234;0.094;0.234;0.031;9.891;3.236;7.47;12.82;0.234;0.062;0.219;0.031;9.142;3.162
7.075;12.954;0.188;0.062;0.25;0.031;9.375;3.095;7.016;12.886;0.234;0.078;0.25;0.047;9.294;3.141;7.114;13.441;0.218;0.078;0.219;0.031;9.767;3.104;7.078;12.619;0.203;0.062;0.25;0.031;9.588;3.109
7.142;13.199;0.203;0.078;0.219;0.031;9.521;3.047;6.95;12.666;0.188;0.078;0.234;0.047;9.367;3.104;7.375;12.986;0.234;0.078;0.219;0.031;9.22;3.094;6.985;12.766;0.188;0.078;0.234;0.031;9.313;3.203
7.001;12.924;0.219;0.062;0.234;0.031;9.23;3.156;7.47;12.704;0.219;0.062;0.234;0.047;9.295;3.141;7.001;12.918;0.219;0.078;0.203;0.047;9.252;3.109;7.157;12.939;0.219;0.078;0.234;0.047;9.626;3.125
7.003;12.948;0.188;0.063;0.234;0.047;9.251;3.109;6.984;12.847;0.203;0.078;0.234;0.047;9.357;3.173;6.993;13.161;0.234;0.062;0.234;0.047;9.704;3.105;7.392;12.698;0.24;0.078;0.219;0.031;9.328;3.159
7.0;12.992;0.203;0.078;0.219;0.031;9.454;3.255;7.132;12.815;0.234;0.078;0.266;0.031;9.12;3.187;7.109;13.122;0.219;0.062;0.219;0.047;9.578;3.149;6.985;12.599;0.203;0.078;0.25;0.047;9.501;3.111
7.125;13.011;0.234;0.094;0.25;0.047;9.236;3.109;7.003;12.67;0.219;0.078;0.219;0.031;9.313;3.078;7.001;13.06;0.219;0.078;0.219;0.047;9.501;3.156;7.092;12.626;0.203;0.094;0.234;0.047;9.252;3.11
6.969;13.103;0.234;0.078;0.219;0.031;9.234;3.094;7.07;12.652;0.203;0.078;0.219;0.047;9.443;3.201;7.28;13.031;0.203;0.078;0.25;0.031;9.491;3.078;7.16;12.752;0.203;0.094;0.219;0.047;9.344;3.281
7.165;12.845;0.203;0.078;0.203;0.047;9.58;3.157;7.109;12.834;0.25;0.078;0.262;0.047;9.631;3.246;6.973;12.963;0.203;0.094;0.203;0.047;9.157;3.062;7.032;12.952;0.234;0.078;0.25;0.031;9.34;3.113
7.015;12.862;0.219;0.078;0.25;0.047;9.663;3.109;7.126;12.971;0.203;0.062;0.219;0.047;9.984;3.094;7.127;12.938;0.188;0.078;0.234;0.047;9.24;3.113;7.321;12.915;0.219;0.062;0.234;0.031;9.236;3.094
7.094;13.063;0.205;0.078;0.234;0.031;9.468;3.328;6.923;12.617;0.234;0.078;0.219;0.031;9.391;3.109;7.062;12.862;0.203;0.062;0.219;0.047;9.578;3.115;7.016;12.674;0.234;0.094;0.219;0.031;9.313;3.11
7.017;13.177;0.219;0.078;0.219;0.031;9.221;3.109;7.111;12.736;0.203;0.078;0.234;0.031;9.354;3.289;7.126;13.037;0.203;0.078;0.25;0.047;9.75;3.203;6.936;12.598;0.234;0.078;0.25;0.031;9.175;3.063
7.204;13.076;0.219;0.062;0.25;0.031;9.786;3.406;7.017;12.652;0.203;0.062;0.234;0.047;9.986;3.234;7.063;12.953;0.203;0.078;0.234;0.047;9.461;3.156;7.041;12.592;0.234;0.078;0.234;0.031;9.359;3.204
6.951;12.953;0.234;0.078;0.219;0.031;9.308;3.302;7.016;12.687;0.25;0.094;0.25;0.047;9.54;3.094;6.987;12.736;0.203;0.078;0.234;0.047;9.335;3.104;6.985;12.923;0.203;0.078;0.234;0.047;9.206;3.094
6.954;12.863;0.196;0.078;0.219;0.031;9.365;3.078;6.961;12.922;0.203;0.078;0.219;0.031;9.236;3.391;7.028;12.883;0.188;0.078;0.234;0.047;9.343;3.34;7.312;12.72;0.187;0.078;0.219;0.047;9.611;3.095
7.001;12.986;0.219;0.062;0.25;0.031;9.876;3.22;7.094;12.739;0.203;0.063;0.266;0.031;9.845;3.151;6.983;12.955;0.203;0.078;0.234;0.047;9.36;3.095;7.109;12.575;0.219;0.078;0.234;0.047;9.454;3.109
7.111;13.048;0.203;0.078;0.219;0.031;9.234;3.08;7.016;12.697;0.203;0.063;0.219;0.047;9.639;3.211;7.215;13.048;0.219;0.078;0.25;0.031;9.352;3.211;7.048;12.674;0.188;0.078;0.234;0.031;9.283;3.145
7.266;12.959;0.219;0.078;0.234;0.031;9.673;3.074;7.017;12.922;0.203;0.094;0.234;0.047;9.516;3.172;7.049;13.369;0.203;0.078;0.234;0.047;9.422;3.141;7.047;12.705;0.188;0.078;0.203;0.047;9.519;3.062
7.028;12.861;0.188;0.078;0.219;0.031;9.699;3.083;6.985;12.859;0.203;0.078;0.219;0.031;9.224;3.156;6.928;13.021;0.203;0.094;0.216;0.031;9.219;3.062;7.001;12.984;0.203;0.078;0.219;0.047;9.329;3.386
6.954;13.189;0.219;0.078;0.234;0.031;9.923;3.063;7.297;12.739;0.203;0.078;0.203;0.047;9.625;3.329;7.113;12.846;0.203;0.078;0.234;0.031;9.205;3.214;6.929;12.723;0.203;0.078;0.219;0.031;9.188;3.078
7.045;13.15;0.219;0.151;0.359;0.047;9.704;3.084;7.186;12.864;0.219;0.094;0.219;0.047;9.417;3.125;7.361;13.11;0.219;0.094;0.234;0.047;9.5;3.181;7.04;12.877;0.219;0.094;0.266;0.047;9.843;3.095
7.203;12.932;0.203;0.062;0.219;0.047;9.472;3.125;7.001;12.939;0.203;0.078;0.234;0.031;9.432;3.171;7.704;12.746;0.219;0.078;0.203;0.047;9.412;3.094;7.111;13.008;0.219;0.078;0.234;0.047;9.534;3.301
7.438;13.032;0.203;0.078;0.25;0.047;9.358;3.141;7.095;13.027;0.25;0.078;0.266;0.047;9.673;3.109;7.326;12.858;0.203;0.094;0.219;0.047;9.205;3.11;7.173;13.378;0.188;0.078;0.266;0.047;9.376;3.109
7.516;13.027;0.203;0.078;0.236;0.031;9.312;3.172;7.607;13.188;0.203;0.094;0.234;0.047;9.725;3.273;7.346;12.929;0.203;0.078;0.25;0.047;9.267;3.111;7.346;13.082;0.219;0.078;0.25;0.047;9.955;3.244
7.132;12.656;0.234;0.062;0.234;0.031;9.493;3.359;6.966;12.765;0.187;0.078;0.234;0.031;9.357;3.391;7.173;12.801;0.203;0.078;0.234;0.047;9.457;3.142;6.915;12.633;0.203;0.078;0.219;0.047;9.361;3.36
7.047;12.773;0.188;0.064;0.234;0.031;9.362;3.189;6.922;12.81;0.234;0.078;0.25;0.047;9.282;3.25;7.138;12.907;0.203;0.078;0.234;0.047;9.407;3.109;6.876;12.828;0.203;0.094;0.234;0.047;9.75;3.237
7.344;12.811;0.188;0.078;0.234;0.031;9.158;3.089;7.094;12.693;0.188;0.078;0.23;0.031;9.266;3.246;7.346;12.711;0.203;0.078;0.203;0.047;9.22;3.094;7.026;12.805;0.219;0.078;0.234;0.047;9.533;3.156
7.06;12.801;0.188;0.062;0.219;0.031;9.15;3.087;7.024;12.743;0.219;0.078;0.234;0.031;9.813;3.391;7.032;12.627;0.219;0.062;0.25;0.031;9.524;3.232;7.027;12.905;0.219;0.078;0.234;0.031;9.713;3.314
7.063;12.97;0.203;0.078;0.203;0.031;9.342;3.089;6.964;12.988;0.219;0.078;0.219;0.047;9.205;3.185;7.128;12.73;0.203;0.062;0.25;0.031;9.273;3.297;7.159;12.889;0.207;0.078;0.219;0.031;9.109;3.233
7.161;12.798;0.219;0.062;0.234;0.047;9.716;3.067;6.953;12.661;0.219;0.062;0.234;0.047;9.297;3.218;7.172;12.704;0.203;0.078;0.219;0.047;9.334;3.082;7.001;12.875;0.219;0.063;0.234;0.047;9.548;3.281
7.142;12.975;0.188;0.078;0.234;0.031;9.125;3.22;7.089;12.616;0.219;0.078;0.219;0.047;9.434;3.367;7.109;12.827;0.203;0.078;0.219;0.031;9.374;3.198;6.896;12.654;0.219;0.078;0.25;0.031;9.25;3.21
7.396;12.694;0.203;0.062;0.219;0.031;9.356;3.234;6.895;12.657;0.219;0.078;0.234;0.031;9.189;3.214;7.274;12.767;0.203;0.078;0.219;0.031;9.196;3.082;7.114;12.814;0.203;0.078;0.219;0.047;9.384;3.269
