time_acc_dt_original_feats;time_acc_dt_selected_feats;time_acc_neight_original_feats;time_acc_neight_selected_feats;time_acc_gnb_original_feats;time_acc_gnb_selected_feats;time_acc_rf_original_feats;time_acc_rf_selected_feats;time_acc_mlp_original_feats;time_acc_mlp_selected_feats;time_acc_svc_original_feats;time_acc_svc_selected_featstime_prec_dt_original_feats;time_prec_dt_selected_feats;time_prec_neight_original_feats;time_prec_neight_selected_feats;time_prec_gnb_original_feats;time_prec_gnb_selected_feats;time_prec_rf_original_feats;time_prec_rf_selected_feats;time_prec_mlp_original_feats;time_prec_mlp_selected_feats;time_prec_svc_original_feats;time_prec_svc_selected_featstime_rec_dt_original_feats;time_rec_dt_selected_feats;time_rec_neight_original_feats;time_rec_neight_selected_feats;time_rec_gnb_original_feats;time_rec_gnb_selected_feats;time_rec_rf_original_feats;time_rec_rf_selected_feats;time_rec_mlp_original_feats;time_rec_mlp_selected_feats;time_rec_svc_original_feats;time_rec_svc_selected_featstime_f1_dt_original_feats;time_f1_dt_selected_feats;time_f1_neight_original_feats;time_f1_neight_selected_feats;time_f1_gnb_original_feats;time_f1_gnb_selected_feats;time_f1_rf_original_feats;time_f1_rf_selected_feats;time_f1_mlp_original_feats;time_f1_mlp_selected_feats;time_f1_svc_original_feats;time_f1_svc_selected_feats;time_acc_svc_selected_feats;time_f1_dt_original_feats;time_prec_dt_original_feats;time_prec_svc_selected_feats;time_rec_dt_original_feats;time_rec_svc_selected_feats
0.552;0.077;2.753;0.272;0.252;0.047;10.267999999999999;3.486;19.785;8.628;8.883;;0.081;2.741;0.272;0.255;0.052000000000000005;10.222999999999999;3.4819999999999998;17.777;8.493;9.177999999999999;;0.084;2.766;0.275;0.253;0.055;10.279000000000002;3.5269999999999997;18.624000000000002;8.346;8.934;;0.083;2.739;0.272;0.258;0.051;10.26;3.398;18.669;8.156;8.954;0.47600000000000003;0.466;0.55;0.555;0.47100000000000003;0.561;0.475
0.56;0.081;2.8160000000000003;0.272;0.262;0.049;10.111;3.5789999999999997;17.304000000000002;7.882999999999999;8.636000000000001;;0.079;2.748;0.271;0.258;0.06;10.22;3.4619999999999997;19.307000000000002;8.507;8.831;;0.084;2.7689999999999997;0.27;0.257;0.049;10.252;3.495;18.653;8.441;9.144;;0.083;2.778;0.27399999999999997;0.262;0.052000000000000005;10.289000000000001;3.489;19.558;8.613999999999999;8.911;0.479;0.44799999999999995;0.573;0.552;0.45799999999999996;0.552;0.474
0.5539999999999999;0.078;2.736;0.271;0.259;0.049;10.254000000000001;3.485;17.902;8.125;8.898;;0.085;2.801;0.275;0.26899999999999996;0.055;10.328;3.51;19.096;8.421;8.896;;0.083;2.765;0.275;0.256;0.054000000000000006;10.253;3.503;18.285;8.316;8.98;;0.08199999999999999;2.8310000000000004;0.276;0.264;0.053;10.339;3.5660000000000003;19.123;8.816;9.328;0.48700000000000004;0.47100000000000003;0.561;0.561;0.47;0.555;0.474
0.563;0.08;2.821;0.27;0.256;0.046;10.327;3.5410000000000004;18.729;8.496;9.271;;0.08199999999999999;2.806;0.29;0.28300000000000003;0.059000000000000004;10.437000000000001;3.483;19.767;8.277999999999999;8.999;;0.08;2.8810000000000002;0.281;0.248;0.051;10.275;3.4739999999999998;19.663;8.029;8.66;;0.077;2.7039999999999997;0.26899999999999996;0.265;0.053;10.129;3.4530000000000003;18.038;8.082;8.7;0.48200000000000004;0.473;0.547;0.556;0.478;0.563;0.47
0.5529999999999999;0.079;2.715;0.262;0.23800000000000002;0.046;10.169;3.411;18.35;8.214;8.821;;0.079;2.6830000000000003;0.27;0.266;0.053;10.086;3.386;17.118;7.907;8.782;;0.08199999999999999;2.716;0.26899999999999996;0.25;0.051;10.365;3.534;18.852;8.227;8.627;;0.079;2.682;0.26899999999999996;0.24600000000000002;0.05;10.089;3.605;17.651;7.943;8.67;0.46399999999999997;0.46799999999999997;0.5489999999999999;0.545;0.474;0.555;0.47200000000000003
0.545;0.075;2.6860000000000004;0.263;0.242;0.045;10.091000000000001;3.4539999999999997;17.727;8.668;8.684;;0.091;2.888;0.266;0.245;0.05;10.076;3.411;17.211;8.05;9.033999999999999;;0.084;2.693;0.26899999999999996;0.249;0.05;10.079;3.4189999999999996;17.005;7.8389999999999995;8.584;;0.081;2.728;0.268;0.251;0.054000000000000006;10.203;3.447;18.857;8.517000000000001;8.681000000000001;0.46;0.446;0.5529999999999999;0.568;0.47200000000000003;0.5489999999999999;0.452
0.5529999999999999;0.075;2.792;0.27;0.273;0.051;10.1;3.409;16.899;7.992000000000001;8.665;;0.079;2.7119999999999997;0.275;0.262;0.05;10.113999999999999;3.457;18.184;8.306000000000001;8.666;;0.08;2.68;0.276;0.284;0.05;10.085;3.4139999999999997;17.812;7.957000000000001;8.679;;0.078;2.533;0.256;0.251;0.039;9.551;3.2230000000000003;18.340999999999998;7.602;8.637;0.466;0.46;0.5479999999999999;0.5489999999999999;0.467;0.544;0.45899999999999996
0.507;0.078;2.485;0.25;0.23199999999999998;0.031;9.385;3.176;16.03;7.396;7.942;;0.084;2.477;0.25;0.24;0.048;9.437000000000001;3.2060000000000004;15.628;7.316;7.8629999999999995;;0.07400000000000001;2.491;0.255;0.237;0.032;9.369;3.175;15.968;7.347;8.026;;0.071;2.491;0.24;0.23800000000000002;0.047;9.363;3.1719999999999997;14.923;7.315;7.919;0.425;0.413;0.535;0.525;0.435;0.516;0.423
0.518;0.079;2.517;0.247;0.222;0.047;9.495;3.222;15.561;7.601;7.89;;0.077;2.502;0.25;0.22399999999999998;0.04;9.372;3.1910000000000003;15.092;7.365;7.906000000000001;;0.078;2.472;0.261;0.23399999999999999;0.047;9.343;3.233;13.873;7.303999999999999;7.865;;0.063;2.497;0.253;0.21899999999999997;0.047;9.341000000000001;3.187;16.155;7.447;8.032;0.429;0.415;0.534;0.518;0.43;0.536;0.43799999999999994
0.508;0.078;2.477;0.245;0.21899999999999997;0.037000000000000005;9.41;3.168;14.467;7.315;7.865;;0.078;2.526;0.263;0.226;0.047;9.511000000000001;3.2230000000000003;14.515999999999998;7.6129999999999995;7.875;;0.066;2.491;0.25;0.228;0.047;9.435;3.178;14.437999999999999;7.316;7.971;;0.07200000000000001;2.497;0.244;0.23399999999999999;0.047;9.401;3.1889999999999996;14.448;7.35;7.891;0.433;0.418;0.519;0.528;0.42200000000000004;0.54;0.433
